"Story","Title","Result","Date","Stability","Duration (s)"
"Crear equipo","crear equipo exitoso","PENDING","2022-12-22T10:10:37.812-05:00[America/Bogota]","0.0","32.1"
"Realizar Login","Login exitoso","SUCCESS","2022-12-21T14:08:48.952-05:00[America/Bogota]","0.0","47.21"
